epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3988,2.26415,3.36435,1.94173,0.22641,0.24022,0.1511,0.05516,2.18711,3.01074,1.9384,0.000414519,0.000414519,0.000414519
2,118.03,2.10055,2.6936,1.78186,0.21447,0.28774,0.16791,0.06449,2.18285,2.81567,1.83753,0.000666611,0.000666611,0.000666611
3,173.862,2.04644,2.47325,1.73225,0.35426,0.30684,0.24976,0.09982,2.08242,2.29089,1.74403,0.000753703,0.000753703,0.000753703
4,228.199,1.94586,2.29692,1.66156,0.38677,0.32824,0.28902,0.11996,2.00121,2.22422,1.77343,0.0005075,0.0005075,0.0005075
5,282.397,1.87971,2.16372,1.60862,0.41819,0.37312,0.35577,0.16387,1.84864,1.9901,1.61136,0.00026,0.00026,0.00026
1,65.1059,2.30076,3.78038,1.99589,0.17971,0.20422,0.10403,0.03865,2.22082,2.93706,1.92236,0.00331615,0.00331615,0.00331615
2,118.787,2.12721,2.91972,1.76642,0.35187,0.18428,0.0981,0.03377,2.35727,3.09886,2.1419,0.0066056,0.0066056,0.0066056
3,168.87,2.16175,2.76849,1.80365,0.24932,0.18587,0.11967,0.04256,2.2824,2.86978,1.99488,0.00985104,0.00985104,0.00985104
4,217.865,2.14427,2.63394,1.79878,0.25712,0.19396,0.13366,0.04888,2.36174,3.30491,2.07665,0.009802,0.009802,0.009802
5,266.889,2.1013,2.50662,1.77785,0.43189,0.1439,0.09685,0.03765,2.37705,3.01303,2.03058,0.009736,0.009736,0.009736
6,316.058,2.06351,2.43507,1.75414,0.38107,0.2424,0.18156,0.0722,2.229,2.79554,2.0233,0.00967,0.00967,0.00967
7,367.714,2.02406,2.35506,1.71051,0.33209,0.30753,0.24404,0.09697,2.03959,2.41696,1.83166,0.009604,0.009604,0.009604
8,416.084,2.00468,2.33071,1.70984,0.36753,0.3088,0.25859,0.10698,2.02026,2.27932,1.82415,0.009538,0.009538,0.009538
9,464.845,1.97927,2.27474,1.68557,0.40079,0.32308,0.28016,0.11417,2.00995,2.28077,1.78278,0.009472,0.009472,0.009472
10,513.836,1.96286,2.22618,1.66444,0.37397,0.35641,0.30316,0.1281,1.94745,2.25404,1.71838,0.009406,0.009406,0.009406
11,562.978,1.94717,2.20983,1.66269,0.35939,0.33428,0.29125,0.12428,1.95137,2.2686,1.73997,0.00934,0.00934,0.00934
12,611.2,1.93939,2.17969,1.63752,0.39636,0.33107,0.28422,0.11697,1.99475,2.17703,1.74971,0.009274,0.009274,0.009274
13,661.026,1.93118,2.15731,1.65429,0.3966,0.36829,0.32656,0.14058,1.91294,2.08569,1.67618,0.009208,0.009208,0.009208
14,709.027,1.90661,2.12599,1.62795,0.41964,0.35984,0.32442,0.14162,1.92267,2.11187,1.71289,0.009142,0.009142,0.009142
